rel.group,area,year,season,program,length,lendist
3,2,1991,2,RTTP,182,0
3,2,1991,2,RTTP,184,0
3,2,1991,2,RTTP,186,0
3,2,1991,2,RTTP,188,0
3,2,1991,2,RTTP,190,0
3,2,1991,2,RTTP,192,0
3,2,1991,2,RTTP,194,0
3,2,1991,2,RTTP,196,0
3,2,1991,2,RTTP,198,0
4,2,1992,3,RTTP,10,0
4,2,1992,3,RTTP,12,0
4,2,1992,3,RTTP,14,0
4,2,1992,3,RTTP,16,0
4,2,1992,3,RTTP,18,0
4,2,1992,3,RTTP,20,0.798820370327226
4,2,1992,3,RTTP,22,2.39646111098168
4,2,1992,3,RTTP,24,21.5681499988351
4,2,1992,3,RTTP,26,101.450187031558
4,2,1992,3,RTTP,28,314.735225908927
4,2,1992,3,RTTP,30,174.941661101663
4,2,1992,3,RTTP,32,75.0891148107593
4,2,1992,3,RTTP,34,47.1304018493063
4,2,1992,3,RTTP,36,13.5799462955628
4,2,1992,3,RTTP,38,4.79292222196336
4,2,1992,3,RTTP,40,1.59764074065445
4,2,1992,3,RTTP,42,0
4,2,1992,3,RTTP,44,1
4,2,1992,3,RTTP,46,1.59764074065445
4,2,1992,3,RTTP,48,0
4,2,1992,3,RTTP,50,0
4,2,1992,3,RTTP,52,0
4,2,1992,3,RTTP,54,0
4,2,1992,3,RTTP,56,0
4,2,1992,3,RTTP,58,0
4,2,1992,3,RTTP,60,0
4,2,1992,3,RTTP,62,0
4,2,1992,3,RTTP,64,0
4,2,1992,3,RTTP,66,0
4,2,1992,3,RTTP,68,0
4,2,1992,3,RTTP,70,0
4,2,1992,3,RTTP,72,0
4,2,1992,3,RTTP,74,0
4,2,1992,3,RTTP,76,0
4,2,1992,3,RTTP,78,0
4,2,1992,3,RTTP,80,0
4,2,1992,3,RTTP,82,0
4,2,1992,3,RTTP,84,0
4,2,1992,3,RTTP,86,0
4,2,1992,3,RTTP,88,0
4,2,1992,3,RTTP,90,0
4,2,1992,3,RTTP,92,0
4,2,1992,3,RTTP,94,0
4,2,1992,3,RTTP,96,0
4,2,1992,3,RTTP,98,0
4,2,1992,3,RTTP,100,0
4,2,1992,3,RTTP,102,0
4,2,1992,3,RTTP,104,0
4,2,1992,3,RTTP,106,0
4,2,1992,3,RTTP,108,0
4,2,1992,3,RTTP,110,0
4,2,1992,3,RTTP,112,0
4,2,1992,3,RTTP,114,0
4,2,1992,3,RTTP,116,0
4,2,1992,3,RTTP,118,0
4,2,1992,3,RTTP,120,0
4,2,1992,3,RTTP,122,0
4,2,1992,3,RTTP,124,0
4,2,1992,3,RTTP,126,0
4,2,1992,3,RTTP,128,0
4,2,1992,3,RTTP,130,0
4,2,1992,3,RTTP,132,0
4,2,1992,3,RTTP,134,0
4,2,1992,3,RTTP,136,0
4,2,1992,3,RTTP,138,0
4,2,1992,3,RTTP,140,0
4,2,1992,3,RTTP,142,0
4,2,1992,3,RTTP,144,0
4,2,1992,3,RTTP,146,0
4,2,1992,3,RTTP,148,0
4,2,1992,3,RTTP,150,0
4,2,1992,3,RTTP,152,0
4,2,1992,3,RTTP,154,0
4,2,1992,3,RTTP,156,0
4,2,1992,3,RTTP,158,0
4,2,1992,3,RTTP,160,0
4,2,1992,3,RTTP,162,0
4,2,1992,3,RTTP,164,0
4,2,1992,3,RTTP,166,0
4,2,1992,3,RTTP,168,0
4,2,1992,3,RTTP,170,0
4,2,1992,3,RTTP,172,0
4,2,1992,3,RTTP,174,0
4,2,1992,3,RTTP,176,0
4,2,1992,3,RTTP,178,0
4,2,1992,3,RTTP,180,0
4,2,1992,3,RTTP,182,0
4,2,1992,3,RTTP,184,0
4,2,1992,3,RTTP,186,0
4,2,1992,3,RTTP,188,0
4,2,1992,3,RTTP,190,0
4,2,1992,3,RTTP,192,0
4,2,1992,3,RTTP,194,0
4,2,1992,3,RTTP,196,0
4,2,1992,3,RTTP,198,0
5,2,1992,4,RTTP,10,0
5,2,1992,4,RTTP,12,0
5,2,1992,4,RTTP,14,0
5,2,1992,4,RTTP,16,0
5,2,1992,4,RTTP,18,0
5,2,1992,4,RTTP,20,1.5597339129855
5,2,1992,4,RTTP,22,1.5597339129855
5,2,1992,4,RTTP,24,1.5597339129855
5,2,1992,4,RTTP,26,8.57853652142026
5,2,1992,4,RTTP,28,26.5154765207535
5,2,1992,4,RTTP,30,11.6980043473913
5,2,1992,4,RTTP,32,17.9369399993333
5,2,1992,4,RTTP,34,22.6161417382898
5,2,1992,4,RTTP,36,57.7101547804636
5,2,1992,4,RTTP,38,56.9302878239708
5,2,1992,4,RTTP,40,24.955742607768
5,2,1992,4,RTTP,42,7.01880260843476
5,2,1992,4,RTTP,44,1.5597339129855
5,2,1992,4,RTTP,46,4.67920173895651
5,2,1992,4,RTTP,48,2.33960086947825
5,2,1992,4,RTTP,50,0
5,2,1992,4,RTTP,52,0.779866956492751
5,2,1992,4,RTTP,54,0.779866956492751
5,2,1992,4,RTTP,56,0
5,2,1992,4,RTTP,58,0
5,2,1992,4,RTTP,60,0
5,2,1992,4,RTTP,62,0
5,2,1992,4,RTTP,64,0
5,2,1992,4,RTTP,66,0
5,2,1992,4,RTTP,68,0
5,2,1992,4,RTTP,70,0
5,2,1992,4,RTTP,72,0
5,2,1992,4,RTTP,74,0
5,2,1992,4,RTTP,76,0
5,2,1992,4,RTTP,78,0
5,2,1992,4,RTTP,80,0
5,2,1992,4,RTTP,82,0
5,2,1992,4,RTTP,84,0
5,2,1992,4,RTTP,86,0
5,2,1992,4,RTTP,88,0
5,2,1992,4,RTTP,90,0
5,2,1992,4,RTTP,92,0
5,2,1992,4,RTTP,94,0
5,2,1992,4,RTTP,96,0
5,2,1992,4,RTTP,98,0
5,2,1992,4,RTTP,100,0
5,2,1992,4,RTTP,102,0
5,2,1992,4,RTTP,104,0
5,2,1992,4,RTTP,106,0
5,2,1992,4,RTTP,108,0
5,2,1992,4,RTTP,110,0
5,2,1992,4,RTTP,112,0
5,2,1992,4,RTTP,114,0
5,2,1992,4,RTTP,116,0
5,2,1992,4,RTTP,118,0
5,2,1992,4,RTTP,120,0
5,2,1992,4,RTTP,122,0
5,2,1992,4,RTTP,124,0
5,2,1992,4,RTTP,126,0
