"Index","Parameter","Estimate","L_bound","U_bound","Gradient","Note"
140,"region_rec_diffs(1,84)",0.84041764,-3,3,1.6738752e-08,""
141,"region_rec_diffs(1,85)",-1.5023411,-3,3,-1.7376118e-07,""
142,"region_rec_diffs(1,86)",0.87163966,-3,3,-1.0486705e-06,""
143,"region_rec_diffs(1,87)",0.14785775,-3,3,6.3806382e-06,""
144,"region_rec_diffs(1,88)",-0.53890518,-3,3,1.4126103e-05,""
145,"region_rec_diffs(1,89)",1.1016089,-3,3,-3.3725705e-07,""
146,"region_rec_diffs(1,90)",-0.34126814,-3,3,-2.1935087e-05,""
147,"region_rec_diffs(1,91)",-0.61441965,-3,3,9.0062107e-06,""
148,"region_rec_diffs(1,92)",0.53602182,-3,3,8.3180162e-06,""
149,"region_rec_diffs(1,93)",-1.9624751,-3,3,-1.5667855e-06,""
150,"region_rec_diffs(1,94)",0.91697385,-3,3,2.8697234e-06,""
151,"region_rec_diffs(1,95)",0.14202883,-3,3,-2.6816128e-06,""
152,"region_rec_diffs(1,96)",-0.63219087,-3,3,-1.4900982e-05,""
153,"region_rec_diffs(1,97)",-0.58916277,-3,3,-1.1662145e-06,""
154,"region_rec_diffs(1,98)",0.34156232,-3,3,-1.198479e-05,""
155,"region_rec_diffs(1,99)",-0.66480554,-3,3,-1.4105787e-05,""
156,"region_rec_diffs(1,100)",0.4074588,-3,3,3.2487682e-06,""
157,"region_rec_diffs(1,101)",0.10520402,-3,3,7.2388594e-07,""
158,"region_rec_diffs(1,102)",0.50329884,-3,3,5.9937931e-07,""
159,"region_rec_diffs(1,103)",0.80084129,-3,3,6.8900259e-06,""
160,"region_rec_diffs(1,104)",0.19243269,-3,3,5.2750462e-06,""
161,"region_rec_diffs(1,105)",-0.29828801,-3,3,-1.8298086e-06,""
162,"region_rec_diffs(1,106)",0.085008831,-3,3,-1.4584875e-06,""
163,"region_rec_diffs(1,107)",0.15984534,-3,3,-6.8993406e-06,""
164,"region_rec_diffs(1,108)",-0.25056814,-3,3,1.3622617e-06,""
165,"region_rec_diffs(1,109)",0.35292498,-3,3,8.027826e-06,""
166,"region_rec_diffs(1,110)",-0.13112463,-3,3,-2.2489023e-06,""
167,"region_rec_diffs(1,111)",-1.1584288,-3,3,2.3461844e-06,""
168,"region_rec_diffs(1,112)",0.44528689,-3,3,7.5542836e-06,""
169,"region_rec_diffs(1,113)",0.24383206,-3,3,1.2741202e-05,""
170,"region_rec_diffs(1,114)",-0.49790931,-3,3,-2.5959663e-06,""
171,"region_rec_diffs(1,115)",-0.83300491,-3,3,-1.5005869e-06,""
172,"region_rec_diffs(1,116)",0.20149704,-3,3,-3.179468e-06,""
173,"region_rec_diffs(1,117)",-0.11899269,-3,3,1.1543358e-05,""
174,"region_rec_diffs(1,118)",-1.3397573,-3,3,6.7008568e-06,""
175,"region_rec_diffs(1,119)",0.29708191,-3,3,3.2568007e-06,""
176,"region_rec_diffs(1,120)",-0.066531637,-3,3,1.0645883e-06,""
177,"region_rec_diffs(1,121)",0.0061028507,-3,3,6.6716943e-06,""
178,"region_rec_diffs(1,122)",-0.34216792,-3,3,-1.2010991e-05,""
179,"region_rec_diffs(1,123)",-0.16465055,-3,3,5.9306121e-06,""
180,"region_rec_diffs(1,124)",0.88113656,-3,3,-5.3231364e-07,""
181,"region_rec_diffs(1,125)",-1.0316832,-3,3,-2.6819345e-06,""
182,"region_rec_diffs(1,126)",-0.24389913,-3,3,-3.4407409e-06,""
183,"region_rec_diffs(1,127)",0.12695292,-3,3,7.7864292e-06,""
184,"region_rec_diffs(1,128)",0.32591297,-3,3,6.0718002e-06,""
185,"region_rec_diffs(1,129)",-1.5302575,-3,3,1.1993465e-05,""
186,"region_rec_diffs(1,130)",-1.2181368,-3,3,-9.0184792e-07,""
187,"region_rec_diffs(1,131)",0.22761543,-3,3,2.4009985e-06,""
188,"region_rec_diffs(1,132)",-0.40536754,-3,3,-1.5751521e-05,""
189,"region_rec_diffs(1,133)",0.22443362,-3,3,1.6359177e-05,""
190,"region_rec_diffs(1,134)",0.53937358,-3,3,4.9292671e-06,""
191,"region_rec_diffs(1,135)",-0.6825981,-3,3,2.0208618e-05,""
192,"region_rec_diffs(1,136)",0.19436932,-3,3,5.8355358e-07,""
193,"region_rec_diffs(1,137)",-0.51308885,-3,3,-1.1407844e-05,""
194,"region_rec_diffs(1,138)",-0.78696584,-3,3,-6.7420073e-06,""
195,"region_rec_diffs(1,139)",-0.72523712,-3,3,1.9692525e-06,""
196,"region_rec_diffs(1,140)",-0.87778457,-3,3,9.0684239e-06,""
197,"region_rec_diffs(1,141)",-0.20318859,-3,3,-2.9961711e-05,""
198,"region_rec_diffs(1,142)",0.32065336,-3,3,-1.3413858e-05,""
199,"region_rec_diffs(1,143)",-1.0091087,-3,3,-2.9949658e-05,""
200,"region_rec_diffs(1,144)",0.12715331,-3,3,1.2072072e-05,""
201,"region_rec_diffs(1,145)",-0.8752695,-3,3,-5.4250472e-06,""
202,"region_rec_diffs(1,146)",0.68706603,-3,3,3.4974558e-06,""
203,"region_rec_diffs(1,147)",-0.712698,-3,3,-8.008617e-06,""
204,"region_rec_diffs(1,148)",0.41210021,-3,3,-2.7538775e-06,""
205,"region_rec_diffs(1,149)",-1.3022642,-3,3,6.1847622e-06,""
206,"region_rec_diffs(1,150)",0.42066503,-3,3,8.0358003e-07,""
207,"region_rec_diffs(1,151)",-1.3211684,-3,3,4.8153403e-07,""
208,"region_rec_diffs(1,152)",-0.21293951,-3,3,6.4369131e-06,""
209,"region_rec_diffs(1,153)",1.0580066,-3,3,3.4702497e-06,""
210,"region_rec_diffs(1,154)",-2.3916283,-3,3,8.608915e-06,""
211,"region_rec_diffs(1,155)",-0.095690475,-3,3,4.8444386e-06,""
212,"region_rec_diffs(1,156)",-0.092050091,-3,3,6.604734e-06,""
213,"region_rec_diffs(1,157)",-0.13081761,-3,3,9.7907879e-06,""
214,"region_rec_diffs(1,158)",-2.0428259,-3,3,5.9992165e-06,""
215,"region_rec_diffs(1,159)",-2.7243416,-3,3,5.3548828e-06,""
216,"region_rec_diffs(1,160)",-1.2417486,-3,3,-2.7447734e-06,""
217,"region_rec_diffs(1,161)",-0.52612559,-3,3,1.7624308e-06,""
218,"region_rec_diffs(1,162)",-0.29379142,-3,3,2.8644073e-06,""
219,"region_rec_diffs(1,163)",-0.9696119,-3,3,-1.2893832e-05,""
220,"region_rec_diffs(1,164)",-0.10229939,-3,3,1.112908e-07,""
221,"region_rec_diffs(1,165)",0.20734097,-3,3,-2.2036169e-06,""
222,"region_rec_diffs(1,166)",-1.5248377,-3,3,4.9639427e-06,""
223,"region_rec_diffs(1,167)",-2.1557123,-3,3,8.7131616e-06,""
224,"region_rec_diffs(1,168)",-1.0442436,-3,3,-2.8840867e-06,""
225,"region_rec_diffs(1,169)",-1.3821053,-3,3,-4.114749e-06,""
226,"region_rec_diffs(1,170)",-0.33982801,-3,3,-1.0860823e-05,""
227,"region_rec_diffs(1,171)",0.69160453,-3,3,9.1559342e-06,""
228,"region_rec_diffs(1,172)",-1.6651379,-3,3,1.5561664e-06,""
229,"region_rec_diffs(1,173)",1.0758815,-3,3,7.3874274e-07,""
230,"region_rec_diffs(1,174)",-0.11669561,-3,3,-1.1358656e-05,""
231,"region_rec_diffs(1,175)",-1.7078713,-3,3,5.5085931e-06,""
232,"region_rec_diffs(1,176)",-0.29550829,-3,3,-1.7494406e-05,""
233,"region_rec_diffs(1,177)",-2.1147295,-3,3,1.0408626e-05,""
234,"region_rec_diffs(1,178)",-0.24791545,-3,3,8.5218384e-06,""
235,"region_rec_diffs(1,179)",-0.68339866,-3,3,-4.5732804e-06,""
236,"region_rec_diffs(1,180)",-0.33986356,-3,3,1.3349349e-06,""
237,"region_rec_diffs(1,181)",-0.27561233,-3,3,-1.1648252e-05,""
238,"region_rec_diffs(1,182)",-1.6078953,-3,3,-9.7684373e-06,""
239,"region_rec_diffs(1,183)",-2.3148755,-3,3,1.9809058e-06,""
240,"region_rec_diffs(1,184)",-0.38238413,-3,3,-2.5827811e-06,""
241,"region_rec_diffs(1,185)",-1.49576,-3,3,-1.8959998e-05,""
242,"region_rec_diffs(1,186)",-1.5320605,-3,3,1.854849e-06,""
243,"region_rec_diffs(1,187)",-1.3475862,-3,3,1.331074e-05,""
244,"region_rec_diffs(1,188)",-0.15950192,-3,3,3.2958879e-06,""
245,"region_rec_diffs(1,189)",-1.0981308,-3,3,3.3450101e-06,""
246,"region_rec_diffs(1,190)",-0.83506057,-3,3,3.5491646e-06,""
247,"region_rec_diffs(1,191)",-1.3448832,-3,3,-5.3349545e-06,""
248,"region_rec_diffs(1,192)",-0.38390737,-3,3,-1.472664e-05,""
249,"region_rec_diffs(1,193)",-0.18817819,-3,3,2.0799019e-05,""
250,"region_rec_diffs(1,194)",-0.27623332,-3,3,9.8721701e-06,""
251,"region_rec_diffs(1,195)",-1.8547468,-3,3,2.8584022e-06,""
252,"region_rec_diffs(1,196)",-0.55482686,-3,3,-2.6054224e-06,""
253,"region_rec_diffs(1,197)",0.2862238,-3,3,-5.0107823e-06,""
254,"region_rec_diffs(1,198)",-1.8333957,-3,3,-6.3705369e-06,""
255,"region_rec_diffs(1,199)",-1.9675746,-3,3,-6.1805023e-06,""
256,"region_rec_diffs(1,200)",-1.0357037,-3,3,-5.0547264e-06,""
257,"region_rec_diffs(1,201)",-0.37252954,-3,3,5.0980707e-06,""
258,"region_rec_diffs(1,202)",-0.62045672,-3,3,9.4866062e-06,""
259,"region_rec_diffs(1,203)",0.36669246,-3,3,-7.6068271e-06,""
260,"region_rec_diffs(1,204)",-1.6847085,-3,3,-3.7420528e-07,""
261,"region_rec_diffs(1,205)",-1.9698911,-3,3,2.8891745e-06,""
262,"region_rec_diffs(1,206)",-1.0401043,-3,3,-3.7191396e-06,""
263,"region_rec_diffs(1,207)",-1.2893086,-3,3,1.48704e-05,""
264,"region_rec_diffs(1,208)",-1.5981742,-3,3,-3.1392495e-05,""
265,"region_rec_diffs(1,209)",-0.69325738,-3,3,-3.5145256e-06,""
266,"region_rec_diffs(1,210)",-0.22352625,-3,3,-1.310352e-05,""
267,"region_rec_diffs(1,211)",0.3944144,-3,3,2.7467662e-06,""
268,"region_rec_diffs(1,212)",-1.5489451,-3,3,-1.133491e-05,""
269,"region_rec_diffs(1,213)",-2.4366798,-3,3,-9.9294182e-07,""
270,"region_rec_diffs(1,214)",-2.4408089,-3,3,1.7414058e-06,""
271,"region_rec_diffs(1,215)",-2.0803237,-3,3,1.1622153e-05,""
272,"region_rec_diffs(1,216)",-0.24331762,-3,3,2.3430789e-05,""
273,"region_rec_diffs(1,217)",0.033020085,-3,3,-1.738867e-05,""
274,"region_rec_diffs(1,218)",-2.4636863,-3,3,7.0312207e-07,""
275,"region_rec_diffs(1,219)",-1.8154486,-3,3,-2.7160056e-06,""
276,"region_rec_diffs(1,220)",0.046136735,-3,3,-2.6805874e-06,""
277,"region_rec_diffs(1,221)",-0.65696263,-3,3,-3.3089113e-06,""
278,"region_rec_diffs(1,222)",-1.5574159,-3,3,-4.5204207e-06,""
279,"region_rec_diffs(1,223)",-0.90447062,-3,3,1.3877337e-06,""
280,"region_rec_diffs(1,224)",-0.30329663,-3,3,1.2311537e-05,""
281,"region_rec_diffs(1,225)",-1.3822108,-3,3,6.8111758e-06,""
282,"region_rec_diffs(1,226)",-2.9570471,-3,3,6.6836564e-07,""
283,"region_rec_diffs(1,227)",-2.4199866,-3,3,-2.2001835e-05,""
284,"region_rec_diffs(1,228)",-0.91955343,-3,3,-2.585443e-05,""
285,"region_rec_diffs(1,229)",0.38047939,-3,3,-8.1713764e-06,""
286,"region_rec_diffs(1,230)",-1.7991441,-3,3,9.2569518e-06,""
287,"region_rec_diffs(1,231)",-0.52692003,-3,3,7.654158e-06,""
288,"region_rec_diffs(1,232)",-0.037436248,-3,3,-4.4059237e-06,""
289,"region_rec_diffs(1,233)",-1.2347743,-3,3,1.1800318e-06,""
290,"region_rec_diffs(1,234)",-1.2935322,-3,3,2.2144805e-05,""
291,"region_rec_diffs(1,235)",-1.2907138,-3,3,-1.1524333e-05,""
292,"region_rec_diffs(1,236)",-0.3116634,-3,3,-7.7303452e-06,""
293,"region_rec_diffs(1,237)",-0.59000807,-3,3,8.3129274e-06,""
294,"region_rec_diffs(1,238)",-1.1196023,-3,3,2.1473074e-05,""
295,"region_rec_diffs(1,239)",-1.1930043,-3,3,1.3646979e-05,""
296,"region_rec_diffs(1,240)",-1.3170047,-3,3,1.6237133e-05,""
297,"region_rec_diffs(1,241)",0.26840954,-3,3,-1.3761943e-05,""
298,"region_rec_diffs(1,242)",-0.85609027,-3,3,2.4899243e-05,""
299,"region_rec_diffs(1,243)",-0.037459035,-3,3,-1.724389e-05,""
300,"region_rec_diffs(1,244)",-0.027406494,-3,3,8.1351785e-06,""
301,"region_rec_diffs(1,245)",-1.0008199,-3,3,-6.4181227e-06,""
302,"region_rec_diffs(1,246)",-1.304733,-3,3,9.813953e-06,""
303,"region_rec_diffs(1,247)",-1.2523132,-3,3,-9.5757369e-06,""
304,"region_rec_diffs(1,248)",-0.14177775,-3,3,-8.9119196e-06,""
305,"region_rec_diffs(1,249)",-0.51465552,-3,3,3.8622703e-05,""
306,"region_rec_diffs(1,250)",-0.9779434,-3,3,-4.1783035e-07,""
307,"region_rec_diffs(1,251)",-1.0098775,-3,3,-8.9664883e-06,""
308,"region_rec_diffs(1,252)",-0.64374213,-3,3,3.0210295e-06,""
309,"region_rec_diffs(1,253)",0.065257474,-3,3,-6.6021128e-06,""
310,"region_rec_diffs(1,254)",-0.58311296,-3,3,-9.5526555e-06,""
311,"region_rec_diffs(1,255)",-0.91747778,-3,3,1.7537218e-05,""
312,"region_rec_diffs(1,256)",-0.36346182,-3,3,-1.8498251e-05,""
313,"region_rec_diffs(1,257)",0.075107218,-3,3,1.1352419e-06,""
314,"region_rec_diffs(1,258)",-0.34123472,-3,3,-4.6385299e-06,""
315,"region_rec_diffs(1,259)",-0.092393485,-3,3,4.1836514e-06,""
316,"region_rec_diffs(1,260)",0.52906912,-3,3,-5.5560308e-06,""
317,"region_rec_diffs(1,261)",-0.29527055,-3,3,-6.1879368e-06,""
318,"region_rec_diffs(1,262)",-0.64887833,-3,3,2.4912251e-05,""
319,"region_rec_diffs(1,263)",-0.3618465,-3,3,-3.5411003e-05,""
320,"region_rec_diffs(1,264)",-0.17340873,-3,3,1.6002889e-05,""
321,"region_rec_diffs(1,265)",0.032692423,-3,3,-4.539751e-07,""
322,"region_rec_diffs(1,266)",-0.10815435,-3,3,2.9176411e-05,""
323,"region_rec_diffs(1,267)",-0.46197419,-3,3,-1.7704395e-06,""
324,"region_rec_diffs(1,268)",-0.7643852,-3,3,-6.9816519e-07,""
325,"region_rec_diffs(1,269)",-1.6423975,-3,3,-1.3997984e-05,""
326,"region_rec_diffs(1,270)",-0.5191423,-3,3,1.4833518e-05,""
327,"region_rec_diffs(1,271)",-1.1760367,-3,3,5.1676834e-06,""
328,"region_rec_diffs(1,272)",0.16506823,-3,3,1.5113292e-06,""
329,"region_rec_diffs(1,273)",-0.59459342,-3,3,-3.6643161e-06,""
330,"region_rec_diffs(1,274)",-0.86116034,-3,3,2.8839187e-05,""
331,"region_rec_diffs(1,275)",-0.34368614,-3,3,1.3699949e-05,""
332,"region_rec_diffs(1,276)",-0.58338866,-3,3,-1.9319265e-06,""
333,"region_rec_diffs(1,277)",-0.53054156,-3,3,-2.1561463e-06,""
334,"region_rec_diffs(1,278)",-0.257283,-3,3,1.690727e-05,""
335,"region_rec_diffs(1,279)",-1.3724416,-3,3,-1.7606447e-05,""
336,"region_rec_diffs(1,280)",-1.6951468,-3,3,-9.1623534e-07,""
337,"region_rec_diffs(1,281)",-1.1431868,-3,3,-9.4027799e-06,""
338,"region_rec_diffs(1,282)",-1.6819346,-3,3,8.428367e-06,""
339,"region_rec_diffs(1,283)",-0.49862922,-3,3,-6.5758151e-06,""
340,"region_rec_diffs(1,284)",-1.522001,-3,3,-9.9712194e-07,""
341,"region_rec_diffs(1,285)",-0.12293091,-3,3,2.6730382e-06,""
342,"region_rec_diffs(1,286)",-0.72488743,-3,3,8.9446894e-06,""
343,"region_rec_diffs(1,287)",-2.9350507,-3,3,1.3601637e-05,""
344,"region_rec_diffs(1,288)",-1.3567242,-3,3,-2.8018239e-07,""
345,"region_rec_diffs(1,289)",-0.15167258,-3,3,-3.0163068e-06,""
346,"region_rec_diffs(1,290)",0.97190435,-3,3,2.8174157e-06,""
347,"region_rec_diffs(1,291)",0.86324512,-3,3,-6.5895655e-07,""
348,"region_rec_diffs(2,1)",0,-3,3,1.9497873e-16,""
349,"region_rec_diffs(2,2)",0.16581408,-3,3,2.8546545e-07,""
