year,area,age,f
2022,2,23,0.35242567
2022,2,24,0.32224064
2022,2,25,0.2985575
2022,2,26,0.28209528
2022,2,27,0.2692786
2022,2,28,0.25932728
2022,2,29,0.25162458
2022,2,30,0.2456891
2022,2,31,0.24114656
2022,2,32,0.23770545
2022,2,33,0.23513775
2022,2,34,0.23326397
2022,2,35,0.23194183
2022,2,36,0.23105774
2022,2,37,0.23052052
2022,2,38,0.23052052
2022,2,39,0.23052052
2022,2,40,0.23052052
2023,2,1,0.46515992
2023,2,2,2.4270081
2023,2,3,4.4745307
2023,2,4,0.8103908
2023,2,5,0.5377881
2023,2,6,1.2299678
2023,2,7,1.7884167
2023,2,8,0.48422264
2023,2,9,0.13918121
2023,2,10,0.11301337
2023,2,11,0.15264697
2023,2,12,0.1824241
2023,2,13,0.19104131
2023,2,14,0.2151194
2023,2,15,0.24487806
2023,2,16,0.26774232
2023,2,17,0.27943307
2023,2,18,0.27866755
2023,2,19,0.26663795
2023,2,20,0.24832633
2023,2,21,0.22872252
2023,2,22,0.21085293
2023,2,23,0.19592372
2023,2,24,0.18405655
2023,2,25,0.17490071
2023,2,26,0.17009216
2023,2,27,0.16640904
2023,2,28,0.16359402
2023,2,29,0.16144812
2023,2,30,0.15981915
2023,2,31,0.15859112
2023,2,32,0.15767541
2023,2,33,0.15700404
2023,2,34,0.15652441
2023,2,35,0.15619557
2023,2,36,0.1559853
2023,2,37,0.15586808
2023,2,38,0.15586808
2023,2,39,0.15586808
2023,2,40,0.15586808
2024,2,1,0.56335631
2024,2,2,3.5301648
2024,2,3,7.0022247
2024,2,4,1.1072972
2024,2,5,0.6804831
2024,2,6,1.9529106
2024,2,7,2.8910303
2024,2,8,0.77689583
2024,2,9,0.25632179
2024,2,10,0.28494492
2024,2,11,0.40640147
2024,2,12,0.4730342
2024,2,13,0.4800776
2024,2,14,0.5070989
2024,2,15,0.5521326
2024,2,16,0.6057326
2024,2,17,0.6639653
2024,2,18,0.7126813
2024,2,19,0.7372761
2024,2,20,0.7421408
2024,2,21,0.7376876
2024,2,22,0.7314743
2024,2,23,0.7271533
2024,2,24,0.7257051
2024,2,25,0.7268502
2024,2,26,0.7371461
2024,2,27,0.7464723
2024,2,28,0.7547212
2024,2,29,0.7618724
2024,2,30,0.7679646
2024,2,31,0.7730733
2024,2,32,0.7772943
2024,2,33,0.7807315
2024,2,34,0.7834891
2024,2,35,0.7856664
2024,2,36,0.7873543
2024,2,37,0.7886347
2024,2,38,0.7886347
2024,2,39,0.7886347
2024,2,40,0.7886347
1952,3,1,2.3051693e-11
1952,3,2,2.3051693e-11
1952,3,3,9.464262e-05
1952,3,4,0.00019364587
1952,3,5,0.0007428599
1952,3,6,0.0023348007
1952,3,7,0.0043715219
1952,3,8,0.0060982739
1952,3,9,0.007784948
1952,3,10,0.010288553
1952,3,11,0.014600999
1952,3,12,0.020720566
1952,3,13,0.027790436
1952,3,14,0.03420721
1952,3,15,0.03820341
1952,3,16,0.038714972
1952,3,17,0.035871972
1952,3,18,0.03114809
1952,3,19,0.026174345
1952,3,20,0.021754887
1952,3,21,0.018133327
1952,3,22,0.015284149
1952,3,23,0.013086213
1952,3,24,0.011404241
1952,3,25,0.010119454
1952,3,26,0.009136935
1952,3,27,0.008384015
1952,3,28,0.00780609
1952,3,29,0.007362357
1952,3,30,0.007022268
1952,3,31,0.0067628034
1952,3,32,0.0065664636
1952,3,33,0.0064198078
1952,3,34,0.0063124052
1952,3,35,0.0062360779
1952,3,36,0.0061843551
1952,3,37,0.0061520744
1952,3,38,0.0061520744
1952,3,39,0.0061520744
1952,3,40,0.0061520744
1953,3,1,4.5409359e-11
1953,3,2,4.5409359e-11
1953,3,3,0.00018593329
1953,3,4,0.00038085559
1953,3,5,0.0014653765
1953,3,6,0.0046246475
1953,3,7,0.008691143
1953,3,8,0.012151735
1953,3,9,0.015519446
1953,3,10,0.020485228
1953,3,11,0.029004669
1953,3,12,0.041053727
1953,3,13,0.054927251
1953,3,14,0.06747057
1953,3,15,0.07522812
1953,3,16,0.0761371
1953,3,17,0.07047598
1953,3,18,0.0611488
1953,3,19,0.051354949
1953,3,20,0.042665177
1953,3,21,0.035550817
1953,3,22,0.029957296
1953,3,23,0.025644247
1953,3,24,0.022344785
1953,3,25,0.019825099
1953,3,26,0.017898581
1953,3,27,0.016422481
1953,3,28,0.015289589
1953,3,29,0.014419828
1953,3,30,0.013753264
1953,3,31,0.013244751
1953,3,32,0.012859968
1953,3,33,0.012572565
1953,3,34,0.012362092
1953,3,35,0.01221252
1953,3,36,0.012111165
1953,3,37,0.01204791
1953,3,38,0.01204791
1953,3,39,0.01204791
1953,3,40,0.01204791
1954,3,1,1.25062578e-11
1954,3,2,1.25062578e-11
1954,3,3,4.979087e-05
1954,3,4,0.000103182769
1954,3,5,0.00040928415
1954,3,6,0.00134514264
1954,3,7,0.0026184416
1954,3,8,0.0037381256
1954,3,9,0.0047929443
1954,3,10,0.006256313
1954,3,11,0.0086714264
1954,3,12,0.011973431
1954,3,13,0.015643869
1954,3,14,0.018824778
1954,3,15,0.020638238
1954,3,16,0.020610172
1954,3,17,0.018879799
1954,3,18,0.016249953
1954,3,19,0.0135636333
1954,3,20,0.0112157418
1954,3,21,0.0093119955
1954,3,22,0.0078251937
1954,3,23,0.0066842788
1954,3,24,0.0058146075
1954,3,25,0.0051522657
1954,3,26,0.0046468963
1954,3,27,0.0042602997
1954,3,28,0.0039639601
1954,3,29,0.003736671
1954,3,30,0.0035626136
1954,3,31,0.0034299059
1954,3,32,0.003329534
1954,3,33,0.0032545917
1954,3,34,0.0031997237
1954,3,35,0.0031607406
1954,3,36,0.0031343278
1954,3,37,0.0031178455
1954,3,38,0.0031178455
1954,3,39,0.0031178455
1954,3,40,0.0031178455
1955,3,1,2.5589249e-11
1955,3,2,2.5589249e-11
1955,3,3,0.00010554364
1955,3,4,0.00021554467
1955,3,5,0.0008226925
1955,3,6,0.0025674818
1955,3,7,0.0047761871
1955,3,8,0.0066362888
1955,3,9,0.008465277
1955,3,10,0.011211879
1955,3,11,0.015975629
1955,3,12,0.022774443
1955,3,13,0.030673817
1955,3,14,0.037890156
1955,3,15,0.042436285
1955,3,16,0.043098973
1955,3,17,0.040001319
1955,3,18,0.034778207
1955,3,19,0.029253199
1955,3,20,0.02433179
1955,3,21,0.020292622
1955,3,22,0.017111509
1955,3,23,0.014655633
1955,3,24,0.012775214
1955,3,25,0.011338231
1955,3,26,0.010238968
1955,3,27,0.009396376
1955,3,28,0.008749496
1955,3,29,0.008252744
1955,3,30,0.007871975
1955,3,31,0.007581447
1955,3,32,0.0073615872
1955,3,33,0.0071973527
1955,3,34,0.0070770732
1955,3,35,0.0069915907
1955,3,36,0.0069336621
1955,3,37,0.0068975088
1955,3,38,0.0068975088
1955,3,39,0.0068975088
1955,3,40,0.0068975088
1956,3,1,2.6889907e-11
1956,3,2,2.6889907e-11
1956,3,3,0.00010910476
1956,3,4,0.00022432549
1956,3,5,0.0008717655
1956,3,6,0.0027889183
1956,3,7,0.005305014
1956,3,8,0.007471656
1956,3,9,0.009555613
1956,3,10,0.012563646
1956,3,11,0.017657026
1956,3,12,0.024780491
1956,3,13,0.032889876
1956,3,14,0.040124772
1956,3,15,0.044490882
1956,3,16,0.044832972
1956,3,17,0.04135998
1956,3,18,0.035793724
1956,3,19,0.030001905
1956,3,20,0.024888081
1956,3,21,0.020714396
1956,3,22,0.017439953
1956,3,23,0.014918992
1956,3,24,0.012992669
1956,3,25,0.011522869
1956,3,26,0.010399818
1956,3,27,0.009539771
1956,3,28,0.008879953
1956,3,29,0.008373544
1956,3,30,0.007985538
1956,3,31,0.007689586
1956,3,32,0.007465679
1956,3,33,0.007298456
1956,3,34,0.007176005
1956,3,35,0.007088991
1956,3,36,0.00703003
1956,3,37,0.006993234
1956,3,38,0.006993234
1956,3,39,0.006993234
1956,3,40,0.006993234
1957,3,1,7.48625e-11
1957,3,2,7.48625e-11
1957,3,3,0.00030704602
1957,3,4,0.00062850346
1957,3,5,0.0024137716
1957,3,6,0.007598344
1957,3,7,0.014246819
1957,3,8,0.019891587
1957,3,9,0.025397475
1957,3,10,0.033549422
1957,3,11,0.047569744
1957,3,12,0.067439959
1957,3,13,0.0903666
1957,3,14,0.11114494
1957,3,15,0.12405126
1957,3,16,0.12565079
1957,3,17,0.11637988
1957,3,18,0.10102509
1957,3,19,0.08487484
1957,3,20,0.07053231
1957,3,21,0.05878331
1957,3,22,0.04954225
1957,3,23,0.042414684
1957,3,24,0.036960983
1957,3,25,0.032795538
1957,3,26,0.029610311
1957,3,27,0.027169561
1957,3,28,0.025296176
1957,3,29,0.023857835
1957,3,30,0.022755476
1957,3,31,0.02191447
1957,3,32,0.021278082
1957,3,33,0.020802739
1957,3,34,0.020454627
1957,3,35,0.020207238
1957,3,36,0.020039598
1957,3,37,0.019934973
1957,3,38,0.019934973
1957,3,39,0.019934973
1957,3,40,0.019934973
1958,3,1,6.6781769e-11
1958,3,2,6.6781769e-11
1958,3,3,0.000274987
1958,3,4,0.00056196915
1958,3,5,0.0021488657
1958,3,6,0.0067235237
1958,3,7,0.012537099
1958,3,8,0.017445168
1958,3,9,0.022259389
1958,3,10,0.029458192
1958,3,11,0.041912575
1958,3,12,0.059650538
1958,3,13,0.08021753
1958,3,14,0.09896231
1958,3,15,0.11072255
1958,3,16,0.11236233
1958,3,17,0.10422307
1958,3,18,0.09057236
1958,3,19,0.07615697
1958,3,20,0.063327879
1958,3,21,0.052804539
1958,3,22,0.044519898
1958,3,23,0.038125787
1958,3,24,0.033230916
1958,3,25,0.029490924
1958,3,26,0.026630228
1958,3,27,0.024437688
1958,3,28,0.022754534
1958,3,29,0.021462077
1958,3,30,0.02047143
1958,3,31,0.019715588
1958,3,32,0.019143607
1958,3,33,0.018716354
1958,3,34,0.018403447
1958,3,35,0.018181072
1958,3,36,0.018030377
1958,3,37,0.017936329
1958,3,38,0.017936329
1958,3,39,0.017936329
1958,3,40,0.017936329
1959,3,1,5.9795579e-11
1959,3,2,5.9795579e-11
1959,3,3,0.00024749134
1959,3,4,0.00050471352
1959,3,5,0.0019189522
1959,3,6,0.0059560565
1959,3,7,0.0110239067
1959,3,8,0.015269088
1959,3,9,0.019465476
1959,3,10,0.025825318
1959,3,11,0.036915129
1959,3,12,0.052812242
1959,3,13,0.07136266
1959,3,14,0.088391999
1959,3,15,0.09921176
1959,3,16,0.100929763
1959,3,17,0.093795562
1959,3,18,0.081627652
1959,3,19,0.068710386
1959,3,20,0.057182695
1959,3,21,0.047710321
1959,3,22,0.040244173
1959,3,23,0.034476838
1959,3,24,0.030059013
1959,3,25,0.026681914
1959,3,26,0.024097863
1959,3,27,0.022116799
1959,3,28,0.02059567
1959,3,29,0.01942743
1959,3,30,0.018531873
1959,3,31,0.017848516
1959,3,32,0.017331347
1959,3,33,0.016945011
1959,3,34,0.016662059
1959,3,35,0.016460965
1959,3,36,0.016324686
1959,3,37,0.016239634
1959,3,38,0.016239634
1959,3,39,0.016239634
1959,3,40,0.016239634
1960,3,1,5.845079e-11
1960,3,2,5.845079e-11
1960,3,3,0.00024050424
1960,3,4,0.00049164891
1960,3,5,0.0018815139
1960,3,6,0.005893762
1960,3,7,0.011001391
1960,3,8,0.015318144
1960,3,9,0.019547813
1960,3,10,0.025860619
1960,3,11,0.036769972
1960,3,12,0.052293086
1960,3,13,0.07027543
1960,3,14,0.08664737
1960,3,15,0.09689988
1960,3,16,0.09830007
1960,3,17,0.09115463
1960,3,18,0.07919916
1960,3,19,0.06658345
1960,3,20,0.05536049
1960,3,21,0.04615694
1960,3,22,0.038912556
1960,3,23,0.033322009
1960,3,24,0.029042688
1960,3,25,0.025773226
1960,3,26,0.023272576
1960,3,27,0.021356062
1960,3,28,0.019884851
1960,3,29,0.018755172
1960,3,30,0.017889302
1960,3,31,0.017228675
1960,3,32,0.016728754
1960,3,33,0.016355329
1960,3,34,0.016081848
1960,3,35,0.01588749
1960,3,36,0.015755786
