year,area,stage,f
1956,2,adult,0.00244491911272017
1957,2,adult,0.00284822877979765
1958,2,adult,0.0116699521927367
1959,2,adult,0.0129031559641838
1960,2,adult,0.0129850295410406
1961,2,adult,0.0186797591577031
1962,2,adult,0.021158610723842
1963,2,adult,0.0245448451733305
1964,2,adult,0.0214177653957444
1965,2,adult,0.0199862520612341
1966,2,adult,0.0234013568339868
1967,2,adult,0.0274673759793375
1968,2,adult,0.0396480892142806
1969,2,adult,0.0400237046788353
1970,2,adult,0.029277825685206
1971,2,adult,0.0304869052115598
1972,2,adult,0.0331354715020813
1973,2,adult,0.0438765431621463
1974,2,adult,0.0573403978438436
1975,2,adult,0.072171482021772
1976,2,adult,0.0582516299262908
1977,2,adult,0.0606138457553206
1978,2,adult,0.0658124962792052
1979,2,adult,0.0715256490988516
1980,2,adult,0.0661046278206118
1981,2,adult,0.0792245738643914
1982,2,adult,0.0650169599833561
1983,2,adult,0.0747499739857913
1984,2,adult,0.0753560411178228
1985,2,adult,0.085000537406564
1986,2,adult,0.0493587150924608
1987,2,adult,0.0602077722173417
1988,2,adult,0.059215149408193
1989,2,adult,0.0522765813495375
1990,2,adult,0.0792049048460763
1991,2,adult,0.0891117441585678
1992,2,adult,0.0882668311046045
1993,2,adult,0.0810378068482523
1994,2,adult,0.114140471964508
1995,2,adult,0.132379909723662
1996,2,adult,0.156260034493579
1997,2,adult,0.163681919117344
1998,2,adult,0.172316613540615
1999,2,adult,0.192402562587454
2000,2,adult,0.257066319589832
2001,2,adult,0.255179038645882
2002,2,adult,0.223467047364177
2003,2,adult,0.249299756243536
2004,2,adult,0.24348981591239
2005,2,adult,0.23635427197808
2006,2,adult,0.326318732009044
2007,2,adult,0.307458428183591
2008,2,adult,0.39863142222459
2009,2,adult,0.390081245349843
2010,2,adult,0.311234834897794
2011,2,adult,0.389295455577012
2012,2,adult,0.446722861979898
2013,2,adult,0.455110710193874
2014,2,adult,0.878257250225989
2015,2,adult,0.709466966825154
2016,2,adult,0.514616069048534
2017,2,adult,0.298588470063378
2018,2,adult,0.475646732894931
2019,2,adult,0.517841350925591
2020,2,adult,0.429582546870729
2021,2,adult,0.325425026038012
2022,2,adult,0.323046081288911
2023,2,adult,0.190493398151787
