year,season,area,sb
2000,4,3,89570
2001,4,3,89108
2002,4,3,85217
2003,4,3,83038
2004,4,3,74694
2005,4,3,66206
2006,4,3,66700
2007,4,3,66200
2008,4,3,69007
2009,4,3,65956
2010,4,3,65907
2011,4,3,62460
2012,4,3,54586
2013,4,3,56023
2014,4,3,57020
2015,4,3,62454
2016,4,3,65191
2017,4,3,60521
2018,4,3,55561
2019,4,3,53305
2020,4,3,55275
2021,4,3,55104
2022,4,3,56053
2023,4,3,56271
2024,4,3,53248
1952,1,4,157820
1953,1,4,165260
1954,1,4,163470
1955,1,4,163900
1956,1,4,164570
1957,1,4,171780
1958,1,4,176480
1959,1,4,164880
1960,1,4,150530
1961,1,4,136990
1962,1,4,125240
1963,1,4,124990
1964,1,4,116420
1965,1,4,114300
1966,1,4,117910
1967,1,4,121690
1968,1,4,116850
1969,1,4,128420
1970,1,4,128450
1971,1,4,125980
1972,1,4,126280
1973,1,4,118210
1974,1,4,107410
1975,1,4,100070
1976,1,4,92052
1977,1,4,84913
1978,1,4,87321
1979,1,4,86783
1980,1,4,82392
1981,1,4,76426
1982,1,4,74486
1983,1,4,73345
1984,1,4,79903
1985,1,4,86485
1986,1,4,81685
1987,1,4,80334
1988,1,4,71189
1989,1,4,69082
1990,1,4,75399
1991,1,4,78788
1992,1,4,78450
1993,1,4,70593
1994,1,4,65350
1995,1,4,59371
1996,1,4,67986
1997,1,4,86187
1998,1,4,91889
1999,1,4,83942
2000,1,4,83339
2001,1,4,78735
2002,1,4,68372
2003,1,4,52470
2004,1,4,57022
2005,1,4,39044
2006,1,4,45766
2007,1,4,48744
2008,1,4,46623
2009,1,4,45399
2010,1,4,31934
2011,1,4,26124
2012,1,4,33574
2013,1,4,36206
2014,1,4,33068
2015,1,4,30623
2016,1,4,32248
2017,1,4,34331
2018,1,4,39232
2019,1,4,33928
2020,1,4,29831
2021,1,4,34876
2022,1,4,39864
2023,1,4,37505
2024,1,4,25690
1952,2,4,157310
1953,2,4,154540
1954,2,4,153410
1955,2,4,154400
1956,2,4,153630
1957,2,4,163270
1958,2,4,162260
1959,2,4,153220
1960,2,4,138940
1961,2,4,126680
1962,2,4,119400
1963,2,4,117540
1964,2,4,106910
1965,2,4,108580
1966,2,4,111770
1967,2,4,112300
1968,2,4,110280
1969,2,4,118760
1970,2,4,117530
1971,2,4,115670
1972,2,4,117800
1973,2,4,106480
1974,2,4,98072
1975,2,4,93145
1976,2,4,86148
1977,2,4,81071
1978,2,4,83902
1979,2,4,81938
1980,2,4,77400
1981,2,4,72999
1982,2,4,70862
1983,2,4,69900
1984,2,4,77029
1985,2,4,80128
1986,2,4,78202
1987,2,4,73887
1988,2,4,68156
1989,2,4,67504
1990,2,4,75136
1991,2,4,76390
1992,2,4,72016
1993,2,4,68090
1994,2,4,64843
1995,2,4,59060
1996,2,4,68837
1997,2,4,85877
1998,2,4,82175
