year,season,fishery,area,catch
1958,1,21,2,0
1959,1,21,2,0
1960,1,21,2,0
1961,1,21,2,0
1962,1,21,2,0
1963,1,21,2,0
1964,1,21,2,0
1965,1,21,2,0
1966,1,21,2,0
1967,1,21,2,0
1968,1,21,2,0
1969,1,21,2,0
1970,1,21,2,137.505
1971,1,21,2,142.5
1972,1,21,2,225
1973,1,21,2,255
1974,1,21,2,254.253
1975,1,21,2,276.495
1976,1,21,2,188.253
1977,1,21,2,256.752
1978,1,21,2,205.752
1979,1,21,2,286.995
1980,1,21,2,180.612
1981,1,21,2,284.265
1982,1,21,2,314.415
1983,1,21,2,326.868
1984,1,21,2,452.319
1985,1,21,2,469.696
1986,1,21,2,637.017
1987,1,21,2,714.993
1988,1,21,2,814.449
1989,1,21,2,1014.88
1990,1,21,2,756.281
1991,1,21,2,772.667
1992,1,21,2,888.576
1993,1,21,2,813.714
1994,1,21,2,902.613
1995,1,21,2,962.062
1996,1,21,2,1492.94
1997,1,21,2,1110.84
1998,1,21,2,1466.68
1999,1,21,2,1391.99
2000,1,21,2,1480.97
2001,1,21,2,1362.68
2002,1,21,2,1309.7
2003,1,21,2,1336.18
2004,1,21,2,1759.3
2005,1,21,2,376.051
2006,1,21,2,416.189
2007,1,21,2,372.512
2008,1,21,2,535.803
2009,1,21,2,756.433
2010,1,21,2,555.59
2011,1,21,2,1043.09
2012,1,21,2,2553.51
2013,1,21,2,3109.28
2014,1,21,2,2989
2015,1,21,2,2583.82
2016,1,21,2,4473.83
2017,1,21,2,1835.99
2018,1,21,2,2424.26
2019,1,21,2,2898.64
2020,1,21,2,4113.27
2021,1,21,2,4019.68
2022,1,21,2,5236.9
2023,1,21,2,6582.73
2024,1,21,2,6226.81
1952,1,22,2,0
1953,1,22,2,0
1954,1,22,2,0
1955,1,22,2,0
1956,1,22,2,0
1957,1,22,2,0
1958,1,22,2,0
1959,1,22,2,0
1960,1,22,2,0
1961,1,22,2,0
1962,1,22,2,0
1963,1,22,2,0
1964,1,22,2,0
1965,1,22,2,0
1966,1,22,2,0
1967,1,22,2,0
1968,1,22,2,0
1969,1,22,2,0
1970,1,22,2,636.987
1971,1,22,2,707.751
1972,1,22,2,738.498
1973,1,22,2,881.136
1974,1,22,2,1024.12
1975,1,22,2,1043.68
1976,1,22,2,886.269
1977,1,22,2,1287.1
1978,1,22,2,780.747
1979,1,22,2,884.871
1980,1,22,2,861.746
1981,1,22,2,1095.81
1982,1,22,2,971.25
1983,1,22,2,1198.2
1984,1,22,2,1140.98
1985,1,22,2,1276.67
1986,1,22,2,1202.33
1987,1,22,2,960.378
1988,1,22,2,1095.95
1989,1,22,2,1211.9
1990,1,22,2,1755.56
1991,1,22,2,1957.6
1992,1,22,2,971.907
1993,1,22,2,855.909
1994,1,22,2,1470.65
1995,1,22,2,1641.38
1996,1,22,2,1618.88
1997,1,22,2,1562.29
1998,1,22,2,1831.08
1999,1,22,2,1454.26
2000,1,22,2,1848.14
2001,1,22,2,1595.14
2002,1,22,2,1585.98
2003,1,22,2,2157.04
2004,1,22,2,2374.97
2005,1,22,2,2008.58
2006,1,22,2,2184.46
2007,1,22,2,2254.71
2008,1,22,2,2084.07
2009,1,22,2,1452.07
2010,1,22,2,873.876
2011,1,22,2,480.41
2012,1,22,2,655.822
2013,1,22,2,401.622
2014,1,22,2,547.362
2015,1,22,2,360.492
2016,1,22,2,430.858
2017,1,22,2,542.017
2018,1,22,2,308.804
2019,1,22,2,421.092
2020,1,22,2,540.576
2021,1,22,2,276
2022,1,22,2,378
2023,1,22,2,801.219
2024,1,22,2,364.371
1952,1,23,2,0
1953,1,23,2,0
1954,1,23,2,0
1955,1,23,2,0
1956,1,23,2,0
1957,1,23,2,0
1958,1,23,2,0
1959,1,23,2,0
1960,1,23,2,0
1961,1,23,2,0
1962,1,23,2,0
1963,1,23,2,0
1964,1,23,2,0
1965,1,23,2,0
1966,1,23,2,0
1967,1,23,2,0
1968,1,23,2,0
1969,1,23,2,0
1970,1,23,2,0
1971,1,23,2,0
1972,1,23,2,0
1973,1,23,2,0
1974,1,23,2,0
1975,1,23,2,0
1976,1,23,2,0
1977,1,23,2,0
1978,1,23,2,0
1979,1,23,2,0
1980,1,23,2,0
1981,1,23,2,0
1982,1,23,2,0
1983,1,23,2,0
1984,1,23,2,0
1985,1,23,2,0
1986,1,23,2,0
1987,1,23,2,0
1988,1,23,2,0
1989,1,23,2,0
1990,1,23,2,0
1991,1,23,2,0
1992,1,23,2,0
1993,1,23,2,0
1994,1,23,2,0
1995,1,23,2,0
1996,1,23,2,0
1997,1,23,2,0
1998,1,23,2,0
1999,1,23,2,0
2000,1,23,2,90.395
2001,1,23,2,95.236
